model,cost_bps,cohort_count,total_periods,mean_cohort_net_return,median_cohort_net_return,worst_cohort_net_return,best_cohort_net_return,mean_cohort_annualized_net_return,median_cohort_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction,pooled_mean_net_return,pooled_annualized_net_return,pooled_cumulative_net_log_return,mean_turnover
lightgbm,2.8,12,52092,-7.9888930494e-05,-8.29515193408e-05,-0.000107261123326,-4.74617349755e-05,-0.699827031127,-0.726655309425,-0.939607440336,-0.415764798386,0,-7.9888930494e-05,-0.699827031127,-4.16157416729,0.335065845043
lightgbm,2.9,12,52092,-8.32395889444e-05,-8.62534658969e-05,-0.000110698695314,-5.08100418173e-05,-0.729178799153,-0.755580361257,-0.969720570951,-0.445095966319,0,-8.32395889444e-05,-0.729178799153,-4.33611666729,0.335065845043
lightgbm,3,12,52092,-8.65902473948e-05,-8.9555412453e-05,-0.000114136267302,-5.4158348659e-05,-0.758530567179,-0.784505413088,-0.999833701566,-0.474427134253,0,-8.65902473948e-05,-0.758530567179,-4.51065916729,0.335065845043
lightgbm,3.1,12,52092,-8.99409058453e-05,-9.28573590091e-05,-0.00011757383929,-5.75066555007e-05,-0.787882335205,-0.813430464919,-1.02994683218,-0.503758302186,0,-8.99409058453e-05,-0.787882335205,-4.68520166729,0.335065845043
lightgbm,3.2,12,52092,-9.32915642957e-05,-9.61593055652e-05,-0.000121011411278,-6.08549623425e-05,-0.81723410323,-0.842355516751,-1.0600599628,-0.53308947012,0,-9.32915642957e-05,-0.81723410323,-4.85974416729,0.335065845043
lightgbm,3.3,12,52092,-9.66422227461e-05,-9.94612521213e-05,-0.000124448983266,-6.42032691842e-05,-0.846585871256,-0.871280568582,-1.09017309341,-0.562420638054,0,-9.66422227461e-05,-0.846585871256,-5.03428666729,0.335065845043
lightgbm,3.4,12,52092,-9.99928811966e-05,-0.000102763198677,-0.000127886555254,-6.7551576026e-05,-0.875937639282,-0.900205620414,-1.12028622403,-0.591751805987,0,-9.99928811966e-05,-0.875937639282,-5.20882916729,0.335065845043
lightgbm,3.5,12,52092,-0.000103343539647,-0.000106065145233,-0.000131324127242,-7.08998828677e-05,-0.905289407308,-0.929130672245,-1.15039935464,-0.621082973921,0,-0.000103343539647,-0.905289407308,-5.38337166729,0.335065845043
lightgbm,3.6,12,52092,-0.000106694198097,-0.00010936709179,-0.00013476169923,-7.42481897094e-05,-0.934641175334,-0.958055724076,-1.18051248526,-0.650414141855,0,-0.000106694198097,-0.934641175334,-5.55791416729,0.335065845043
lightgbm,3.7,12,52092,-0.000110044856548,-0.000112669038346,-0.000138199271218,-7.75964965512e-05,-0.963992943359,-0.986980775908,-1.21062561587,-0.679745309788,0,-0.000110044856548,-0.963992943359,-5.73245666729,0.335065845043
lightgbm,3.8,12,52092,-0.000113395514998,-0.000115970984902,-0.000141636843206,-8.09448033929e-05,-0.993344711385,-1.01590582774,-1.24073874649,-0.709076477722,0,-0.000113395514998,-0.993344711385,-5.90699916729,0.335065845043
lightgbm,3.9,12,52092,-0.000116746173449,-0.000119272931458,-0.000145074415194,-8.42931102347e-05,-1.02269647941,-1.04483087957,-1.2708518771,-0.738407645656,0,-0.000116746173449,-1.02269647941,-6.08154166729,0.335065845043
lightgbm,4,12,52092,-0.000120096831899,-0.000122574878014,-0.000148511987182,-8.76414170764e-05,-1.05204824744,-1.0737559314,-1.30096500772,-0.767738813589,0,-0.000120096831899,-1.05204824744,-6.25608416729,0.335065845043
lightgbm,4.1,12,52092,-0.00012344749035,-0.00012587682457,-0.00015194955917,-9.09897239181e-05,-1.08140001546,-1.10268098323,-1.33107813833,-0.797069981523,0,-0.00012344749035,-1.08140001546,-6.43062666729,0.335065845043
